episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
212,10,train_0034,12037.6416015625,10858.646484375,135.8646484375,0.0,12173.50625,15.62,0.76,0.0,0.0
213,10,train_0354,11780.080078125,10429.3369140625,92.93369140625,0.0,11873.01376953125,14.4,0.7,0.0,0.0
214,10,train_0167,11867.037109375,10672.203125,117.2203125,0.0,11984.257421875,16.14,0.82,0.0,0.0
215,10,train_0410,12436.0234375,10874.10546875,137.410546875,0.0,12573.433984375,17.66,0.6,0.0,0.0
216,10,train_0518,12546.166015625,10580.857421875,108.0857421875,0.0,12654.2517578125,16.76,0.64,0.0,0.0
217,10,train_0213,12472.84375,10338.03125,83.80312500000001,0.0,12556.646875,15.74,0.74,0.0,0.0
218,10,train_0542,11997.2978515625,10458.755859375,95.8755859375,0.0,12093.1734375,15.94,0.66,0.0,0.0
219,10,train_0311,12168.572265625,10685.6337890625,118.56337890625001,0.0,12287.13564453125,14.88,0.7,0.0,0.0
220,10,train_0318,12086.478515625,10796.669921875,129.6669921875,0.0,12216.1455078125,18.3,0.64,0.0,0.0
221,10,train_0459,12190.81640625,10590.0595703125,109.00595703125,0.0,12299.82236328125,16.46,0.68,0.0,0.0
222,10,train_0473,11949.166015625,10588.138671875,108.81386718750001,0.0,12057.9798828125,17.74,0.76,0.0,0.0
223,10,train_0545,12171.78125,10187.4072265625,68.74072265625,0.0,12240.52197265625,18.58,0.54,0.0,0.0
224,11,train_0599,11911.1513671875,10562.591796875,106.25917968750001,0.0,12017.410546875,17.96,0.7,0.0,0.0
225,11,train_0090,12348.9287109375,10622.6015625,112.26015625000001,0.0,12461.1888671875,13.14,0.62,0.0,0.0
226,11,train_0247,12487.32421875,10763.779296875,126.3779296875,0.0,12613.7021484375,15.44,0.68,0.0,0.0
227,11,train_0560,12162.869140625,10839.8359375,133.98359375,0.0,12296.852734375,17.64,0.66,0.0,0.0
228,11,train_0184,12251.3701171875,10465.048828125,96.5048828125,0.0,12347.875,15.88,0.78,0.0,0.0
229,11,train_0003,12190.3974609375,10380.6640625,88.06640625,0.0,12278.4638671875,16.06,0.68,0.0,0.0
230,11,train_0345,12607.8359375,10226.03515625,72.603515625,0.0,12680.439453125,15.7,0.68,0.0,0.0
231,11,train_0451,12646.0419921875,10895.087890625,139.5087890625,0.0,12785.55078125,16.94,0.6,0.0,0.0
232,11,train_0445,12518.5927734375,10791.130859375,129.11308593750002,0.0,12647.705859375,17.82,0.64,0.0,0.0
