episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs
172,0,train_0560,12203.265831915225,10593.30931887147,109.33093188714702,0.0,12312.596763802372,17.56,0.64,0.0,0.0,5.0
173,0,train_0294,12171.850235954105,10329.585462730742,82.95854627307418,0.0,12254.80878222718,14.7,0.6,0.0,0.0,5.0
174,0,train_0333,12560.866591978356,10779.156617596456,127.91566175964563,0.0,12688.782253738002,15.32,0.74,0.0,0.0,5.0
175,0,train_0360,12397.98528265121,10076.779295603828,57.677929560382836,0.0,12455.663212211593,15.06,0.64,0.0,0.0,5.0
176,0,train_0279,12457.144285478777,10536.328365917758,103.63283659177578,0.0,12560.777122070553,15.74,0.7,0.0,0.0,5.0
177,0,train_0338,12503.2969180408,10404.433141340545,90.44331413405453,0.0,12593.740232174854,15.92,0.66,0.0,0.0,5.0
178,0,train_0343,13070.146788170248,10740.095696918863,124.00956969188628,0.0,13194.156357862135,17.04,0.62,0.0,0.0,5.0
179,0,train_0534,12108.59963833578,10453.346917868072,95.33469178680717,0.0,12203.934330122587,15.98,0.74,0.0,0.0,5.0
180,0,train_0182,12833.967492815309,10550.50590319532,105.05059031953206,0.0,12939.01808313484,14.78,0.64,0.0,0.0,5.0
181,0,train_0551,12056.769931615134,10217.091354609169,71.70913546091688,0.0,12128.47906707605,16.0,0.7,0.0,0.0,5.0
182,0,train_0103,12164.479532890757,10347.892339320675,84.78923393206752,0.0,12249.268766822825,16.24,0.76,0.0,0.0,5.0
183,0,train_0112,12491.982642320228,10397.546601272028,89.75466012720281,0.0,12581.737302447431,15.92,0.72,0.0,0.0,5.0
184,0,train_0153,12195.921553605538,10513.14493036078,101.31449303607806,0.0,12297.236046641616,16.84,0.58,0.0,0.0,5.0
185,0,train_0565,12706.939878957033,10598.346017430524,109.83460174305237,0.0,12816.774480700085,15.9,0.6,0.0,0.0,5.0
186,0,train_0146,12212.570591390286,10340.010207926714,84.00102079267145,0.0,12296.571612182957,15.02,0.74,0.0,0.0,5.0
187,0,train_0472,12579.33136155991,10305.03507406591,80.50350740659105,0.0,12659.834868966502,16.52,0.7,0.0,0.0,5.0
188,0,train_0349,12134.889215267382,10196.688282441712,69.66882824417117,0.0,12204.558043511553,16.84,0.58,0.0,0.0,5.0
189,0,train_0383,12125.030661742003,10199.128436460433,69.91284364604326,0.0,12194.943505388046,15.72,0.56,0.0,0.0,5.0
190,0,train_0046,12134.523338392217,10229.56762011838,72.95676201183797,0.0,12207.480100404055,16.64,0.64,0.0,0.0,5.0
191,0,train_0395,12115.166807082212,10433.760965872898,93.3760965872898,0.0,12208.542903669502,15.66,0.62,0.0,0.0,5.0
192,1,train_0041,12305.388602028683,10381.585332187933,88.15853321879331,0.0,12393.547135247476,14.0,0.68,0.0,0.0,5.0
193,1,train_0327,12786.387661445395,10259.201026519082,75.92010265190821,0.0,12862.307764097302,16.54,0.62,0.0,0.0,5.0
194,1,train_0472,12589.09128691374,10995.309566088688,149.53095660886885,0.0,12738.622243522608,15.98,0.64,0.0,0.0,5.0
195,1,train_0550,12369.383299475498,10285.842643052829,78.58426430528289,0.0,12447.967563780781,17.32,0.64,0.0,0.0,5.0
196,1,train_0593,12523.932724886787,9985.199752984332,48.5199752984332,0.0,12572.45270018522,13.86,0.82,0.0,0.0,5.0
197,1,train_0139,12391.181002460005,10090.12789870234,59.01278987023397,0.0,12450.19379233024,14.44,0.72,0.0,0.0,5.0
198,1,train_0460,12853.839062973331,10047.355893052138,54.735589305213765,0.0,12908.574652278545,15.28,0.64,0.0,0.0,5.0
199,1,train_0359,12294.626083791572,10673.621655376319,117.36216553763188,0.0,12411.988249329204,15.24,0.72,0.0,0.0,5.0
200,1,train_0440,12756.310723077366,10802.847950861877,130.28479508618767,0.0,12886.595518163553,15.92,0.72,0.0,0.0,5.0
201,1,train_0488,12307.77381965682,10637.833984423058,113.78339844230578,0.0,12421.557218099126,14.46,0.46,0.0,0.0,5.0
202,1,train_0284,12191.40625724371,10748.890036626763,124.88900366267626,0.0,12316.295260906387,15.32,0.44,0.0,0.0,5.0
203,1,train_0080,12568.903642360532,10589.01637269737,108.90163726973697,0.0,12677.805279630269,16.28,0.66,0.0,0.0,5.0
204,1,train_0473,12135.218553918188,10356.897437468428,85.68974374684277,0.0,12220.908297665032,18.18,0.6,0.0,0.0,5.0
205,1,train_0369,12206.344027321276,10437.36082921095,93.73608292109493,0.0,12300.080110242372,14.92,0.64,0.0,0.0,5.0
206,1,train_0080,12713.995500011868,10736.091368264031,123.60913682640313,0.0,12837.60463683827,13.76,0.66,0.0,0.0,5.0
207,1,train_0241,12321.66254966386,10212.97605401919,71.29760540191891,0.0,12392.960155065779,15.38,0.58,0.0,0.0,5.0
208,1,train_0087,12391.484224064854,11263.3565962832,176.33565962832,0.0,12567.819883693173,15.74,0.56,0.0,0.0,5.0
