episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
64,3,train_0574,12248.068359375,10755.63671875,-248.43632812500002,248.43632812500002,11999.63203125,13.54,0.68,0.0,0.0
65,3,train_0478,12099.08203125,10963.4921875,-227.65078125000002,227.65078125000002,11871.43125,15.76,0.54,0.0,0.0
66,3,train_0317,12181.25390625,10494.8427734375,-274.51572265625003,274.51572265625003,11906.73818359375,17.0,0.56,0.0,0.0
67,3,train_0364,12188.2802734375,10818.0556640625,-242.19443359375,242.19443359375,11946.08583984375,17.86,0.56,0.0,0.0
68,3,train_0124,12459.5390625,10610.771484375,-262.9228515625,262.9228515625,12196.6162109375,17.94,0.62,0.0,0.0
69,3,train_0207,12094.240234375,10268.248046875,-297.1751953125,297.1751953125,11797.0650390625,15.36,0.6,0.0,0.0
70,3,train_0277,12114.771484375,10541.279296875,-269.8720703125,269.8720703125,11844.8994140625,16.62,0.6,0.0,0.0
71,3,train_0568,12669.7822265625,10867.501953125,-237.24980468750002,237.24980468750002,12432.532421875,15.78,0.7,0.0,0.0
72,3,train_0476,12329.548828125,10627.982421875,-261.20175781250003,261.20175781250003,12068.3470703125,19.56,0.6,0.0,0.0
73,3,train_0338,12276.833984375,10645.263671875,-259.4736328125,259.4736328125,12017.3603515625,16.86,0.56,0.0,0.0
74,3,train_0357,11959.322265625,10512.92578125,-272.707421875,272.707421875,11686.61484375,14.74,0.7,0.0,0.0
75,3,train_0259,12344.1318359375,10510.49609375,-272.950390625,272.950390625,12071.1814453125,14.08,0.66,0.0,0.0
76,3,train_0251,12176.724609375,10526.19140625,-271.380859375,271.380859375,11905.34375,15.34,0.48,0.0,0.0
77,3,train_0540,12318.8349609375,10827.384765625,-241.26152343750002,241.26152343750002,12077.5734375,15.78,0.6,0.0,0.0
78,3,train_0002,12429.0029296875,10236.7314453125,-300.32685546875,300.32685546875,12128.67607421875,13.56,0.52,0.0,0.0
79,3,train_0191,12347.505859375,10707.3544921875,-253.26455078125002,253.26455078125002,12094.24130859375,15.56,0.62,0.0,0.0
80,4,train_0245,12043.47265625,10273.2470703125,-296.67529296875,296.67529296875,11746.79736328125,16.36,0.62,0.0,0.0
81,4,train_0417,12152.154296875,10272.51171875,-296.748828125,296.748828125,11855.40546875,14.48,0.52,0.0,0.0
82,4,train_0247,12265.34375,11047.0,-219.3,219.3,12046.04375,15.3,0.6,0.0,0.0
83,4,train_0188,12468.865234375,10483.318359375,-275.6681640625,275.6681640625,12193.1970703125,14.64,0.68,0.0,0.0
84,4,train_0047,11940.76953125,10532.703125,-270.7296875,270.7296875,11670.03984375,14.1,0.62,0.0,0.0
85,4,train_0156,12059.2763671875,10548.4716796875,-269.15283203125,269.15283203125,11790.12353515625,16.12,0.52,0.0,0.0
86,4,train_0063,12359.404296875,10610.3818359375,-262.96181640625,262.96181640625,12096.44248046875,15.42,0.56,0.0,0.0
87,4,train_0420,12276.134765625,10346.9375,-289.30625000000003,289.30625000000003,11986.828515625,16.16,0.72,0.0,0.0
88,4,train_0256,12240.6640625,10503.4775390625,-273.65224609375,273.65224609375,11967.01181640625,16.68,0.78,0.0,0.0
89,4,train_0136,12178.40625,10599.04296875,-264.095703125,264.095703125,11914.310546875,16.46,0.62,0.0,0.0
90,4,train_0324,12258.6826171875,10504.7138671875,-273.52861328125,273.52861328125,11985.15400390625,15.3,0.72,0.0,0.0
91,4,train_0295,12151.705078125,10309.6728515625,-293.03271484375,293.03271484375,11858.67236328125,16.22,0.68,0.0,0.0
92,4,train_0283,12446.57421875,10590.3828125,-264.96171875,264.96171875,12181.6125,15.14,0.64,0.0,0.0
93,4,train_0348,12319.7041015625,10561.056640625,-267.8943359375,267.8943359375,12051.809765625,16.16,0.62,0.0,0.0
94,4,train_0375,12517.009765625,10586.40625,-265.359375,265.359375,12251.650390625,15.36,0.78,0.0,0.0
95,4,train_0113,12147.19921875,10266.923828125,-297.3076171875,297.3076171875,11849.8916015625,16.82,0.64,0.0,0.0
96,5,train_0093,11803.15625,10413.6298828125,-282.63701171875,282.63701171875,11520.51923828125,18.46,0.6,0.0,0.0
97,5,train_0438,11966.203125,10498.916015625,-274.1083984375,274.1083984375,11692.0947265625,17.5,0.62,0.0,0.0
98,5,train_0583,12313.314453125,10656.16015625,-258.383984375,258.383984375,12054.93046875,14.78,0.72,0.0,0.0
99,5,train_0329,12072.755859375,10518.4794921875,-272.15205078125,272.15205078125,11800.60380859375,18.26,0.64,0.0,0.0
100,5,train_0270,12469.154296875,10511.89453125,-272.810546875,272.810546875,12196.34375,14.52,0.78,0.0,0.0
101,5,train_0372,12447.810546875,10889.7490234375,-235.02509765625,235.02509765625,12212.78544921875,16.18,0.8,0.0,0.0
102,5,train_0020,12523.708984375,11036.5087890625,-220.34912109375,220.34912109375,12303.35986328125,15.54,0.56,0.0,0.0
103,5,train_0223,12120.9912109375,10496.09375,-274.390625,274.390625,11846.6005859375,15.6,0.66,0.0,0.0
104,5,train_0215,12428.4990234375,11353.9755859375,-188.60244140625002,188.60244140625002,12239.89658203125,16.84,0.5,0.0,0.0
105,5,train_0252,12152.16796875,10312.1923828125,-292.78076171875,292.78076171875,11859.38720703125,14.56,0.68,0.0,0.0
106,5,train_0446,12169.6171875,10265.2265625,-297.47734375,297.47734375,11872.13984375,14.66,0.64,0.0,0.0
107,5,train_0296,12115.693359375,10772.283203125,-246.7716796875,246.7716796875,11868.9216796875,15.92,0.68,0.0,0.0
108,5,train_0513,12108.39453125,10634.4052734375,-260.55947265625,260.55947265625,11847.83505859375,15.5,0.54,0.0,0.0
109,5,train_0281,12296.0888671875,10835.208984375,-240.4791015625,240.4791015625,12055.609765625,16.8,0.6,0.0,0.0
110,5,train_0020,12749.2568359375,10721.1015625,-251.88984375,251.88984375,12497.3669921875,14.06,0.66,0.0,0.0
111,5,train_0405,12272.8095703125,10887.935546875,-235.20644531250002,235.20644531250002,12037.603125,17.06,0.72,0.0,0.0
112,6,train_0478,11885.185546875,11057.6884765625,-218.23115234375,218.23115234375,11666.95439453125,16.22,0.72,0.0,0.0
113,6,train_0346,12835.8017578125,10751.92578125,-248.80742187500002,248.80742187500002,12586.9943359375,16.74,0.82,0.0,0.0
114,6,train_0562,12190.119140625,10630.310546875,-260.9689453125,260.9689453125,11929.1501953125,16.3,0.5,0.0,0.0
115,6,train_0249,12353.408203125,10751.80078125,-248.819921875,248.819921875,12104.58828125,15.2,0.48,0.0,0.0
116,6,train_0478,12343.03125,10775.5146484375,-246.44853515625002,246.44853515625002,12096.58271484375,15.18,0.68,0.0,0.0
117,6,train_0001,12167.0927734375,10495.078125,-274.4921875,274.4921875,11892.6005859375,13.4,0.68,0.0,0.0
118,6,train_0023,12001.51953125,10188.037109375,-305.1962890625,305.1962890625,11696.3232421875,15.34,0.62,0.0,0.0
119,6,train_0476,12246.30078125,10241.083984375,-299.8916015625,299.8916015625,11946.4091796875,20.96,0.62,0.0,0.0
120,6,train_0524,11672.80078125,10232.9267578125,-300.70732421875,300.70732421875,11372.09345703125,16.62,0.58,0.0,0.0
121,6,train_0311,12294.767578125,10600.134765625,-263.9865234375,263.9865234375,12030.7810546875,14.62,0.64,0.0,0.0
122,6,train_0451,12302.2578125,10567.5146484375,-267.24853515625,267.24853515625,12035.00927734375,14.9,0.64,0.0,0.0
123,6,train_0195,12451.3984375,10689.619140625,-255.0380859375,255.0380859375,12196.3603515625,17.42,0.74,0.0,0.0
