seed,condition,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,mean_decision_latency_ms,p95_decision_latency_ms,decision_calls
2017,bandwidth_dropout_50pct,11027.940947878866,10801.149965031995,130.11499650319948,0.0,11158.055944382066,11.34,0.64,0.0,0.0,5.0,13.097439997363836,25.589539983775463,5.0
2018,clean,11357.394985932195,10573.149789726243,107.31497897262435,0.0,11464.70996490482,11.04,0.58,0.0,0.0,5.0,15.766779996920377,20.85151995997876,5.0
2018,price_noise_low,11317.291885201212,10479.499716702678,97.94997167026777,0.0,11415.24185687148,10.22,0.6,0.0,0.0,5.0,18.45439999597147,32.44631998240948,5.0
2018,price_noise_high,11148.083705985198,10435.578299442928,93.55782994429283,0.0,11241.641535929492,10.36,0.58,0.0,0.0,5.0,19.179760001134127,28.416380030103028,5.0
2018,cef_noise_high,11421.162288900434,10540.542394223501,104.05423942235012,0.0,11525.216528322784,10.6,0.6,0.0,0.0,5.0,14.642640005331486,22.26268001832068,5.0
2018,bandwidth_dropout_20pct,11357.394985932195,10573.149789726243,107.31497897262435,0.0,11464.70996490482,11.04,0.58,0.0,0.0,5.0,16.445359995123,28.662939986679703,5.0
2018,bandwidth_dropout_50pct,11357.394985932195,10573.149789726243,107.31497897262435,0.0,11464.70996490482,11.04,0.58,0.0,0.0,5.0,16.535419994033873,25.970899988897145,5.0
2019,clean,11196.395342252918,10941.71010290019,144.17101029001898,0.0,11340.566352542937,14.0,0.8,0.0,0.0,5.0,15.068179985973984,25.811919989064336,5.0
2019,price_noise_low,11174.408926060107,10924.704860099962,142.47048600999625,0.0,11316.879412070102,13.84,0.8,0.0,0.0,5.0,13.462760008405894,23.97071997402236,5.0
2019,price_noise_high,11136.331060692333,10918.220244459882,141.82202444598826,0.0,11278.153085138321,14.74,0.8,0.0,0.0,5.0,12.775200011674315,23.50002002203837,5.0
2019,cef_noise_high,11222.27288270559,11055.961492298742,155.59614922987421,0.0,11377.869031935465,12.9,0.78,0.0,0.0,5.0,18.79860000917688,29.00612000375986,5.0
2019,bandwidth_dropout_20pct,11196.395342252918,10941.71010290019,144.17101029001898,0.0,11340.566352542937,14.0,0.8,0.0,0.0,5.0,15.63859999878332,28.45900000538677,5.0
2019,bandwidth_dropout_50pct,11196.395342252918,10941.71010290019,144.17101029001898,0.0,11340.566352542937,14.0,0.8,0.0,0.0,5.0,20.177179982420057,25.686079973820597,5.0
2020,clean,11271.82806674616,11143.073748838748,164.3073748838748,0.0,11436.135441630035,12.16,0.6,0.0,0.0,6.0,14.622249999471629,27.059749991167337,6.0
2020,price_noise_low,11250.651229445706,11231.744688657413,173.17446886574126,0.0,11423.825698311448,11.04,0.6,0.0,0.0,5.0,19.743499986361712,29.48623999254778,5.0
