seed,n_workloads,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,mean_decision_latency_ms,p95_decision_latency_ms,decision_calls,slack_scale
2016,9.0,11000.964069267622,10768.087236303843,126.80872363038435,0.0,11127.772792898006,16.044444444444444,0.7333333333333333,0.0,0.0,5.0,15.742920013144612,26.005100016482174,5.0,
2017,9.0,10911.896806257484,10646.444971386514,114.64449713865143,0.0,11026.541303396136,11.555555555555555,0.6444444444444445,0.0,0.0,5.0,15.329520020168275,24.425580038223416,5.0,
2018,9.0,10964.844708643202,10330.365343529415,83.03653435294146,0.0,11047.881242996144,10.488888888888889,0.9333333333333333,0.0,0.0,5.0,17.605099990032613,29.10477997502312,5.0,
2019,9.0,10905.963262886313,10737.964578647987,123.7964578647987,0.0,11029.759720751112,12.733333333333333,0.7333333333333333,0.0,0.0,5.0,15.059860004112124,22.953960031736642,5.0,
2000,10.0,11046.51135839281,10651.30454594845,115.13045459484493,0.0,11161.641812987655,10.6,0.72,0.0,0.0,5.0,18.890459986869246,28.105440002400428,5.0,
2001,10.0,11052.842520247263,10898.57868216263,139.85786821626297,0.0,11192.700388463525,15.1,0.58,0.0,0.0,5.0,15.672940004151314,26.701419998425987,5.0,
2002,10.0,11240.004882149344,10798.923677318307,129.89236773183075,0.0,11369.897249881175,8.1,0.64,0.0,0.0,5.0,15.108259988483042,22.059440019074827,5.0,
2003,10.0,11364.574773062828,11074.00089265328,157.40008926532792,0.0,11521.974862328156,11.54,0.46,0.0,0.0,5.0,17.75929998839274,29.577760014217347,5.0,
2004,10.0,11007.495249142754,10726.946354918458,122.69463549184584,0.0,11130.1898846346,12.38,0.74,0.0,0.0,7.0,16.654785714178747,30.168630025582384,7.0,
2005,10.0,11074.745257830653,10644.178830841294,114.41788308412943,0.0,11189.163140914783,10.04,0.54,0.0,0.0,5.0,18.981120001990348,29.873579996638,5.0,
2006,10.0,11112.86886993053,11060.651466454754,156.0651466454754,0.0,11268.934016576004,14.88,0.82,0.0,0.0,5.0,13.748619984835386,25.56301997974515,5.0,
2007,10.0,10957.445535723044,10642.886748369001,114.2886748369001,0.0,11071.734210559944,12.44,0.66,0.0,0.0,5.0,16.01652002427727,23.301660013385117,5.0,
2008,10.0,11018.281489851803,10798.224335957004,129.8224335957004,0.0,11148.103923447503,9.84,0.78,0.0,0.0,5.0,13.551199994981289,24.337879999075085,5.0,
2009,10.0,11032.82050598309,10759.398006083007,125.93980060830073,0.0,11158.760306591392,10.28,0.36,0.0,0.0,5.0,13.737919996492565,25.079019973054525,5.0,
2010,10.0,11257.372243448397,10966.631449877608,146.66314498776083,0.0,11404.035388436158,9.68,0.74,0.0,0.0,5.0,13.999440020415932,26.41076000872999,5.0,
2011,10.0,10965.988154046101,10641.758869214718,114.17588692147183,0.0,11080.164040967573,12.48,0.6,0.0,0.0,5.0,17.75197999086231,28.999459964688867,5.0,
2012,10.0,11150.576137033453,10988.981137597973,148.89811375979735,0.0,11299.47425079325,10.88,0.72,0.0,0.0,5.0,17.647219996433705,28.77005998743698,5.0,
2013,10.0,11433.932243004798,11084.237662824878,158.42376628248786,0.0,11592.356009287285,12.34,0.7,0.0,0.0,5.0,15.293400012888014,26.357060007285327,5.0,
2014,10.0,11178.684922278338,11050.624153714347,155.0624153714347,0.0,11333.747337649773,15.28,0.74,0.0,0.0,7.0,18.69310000412432,29.716220020782202,7.0,
2015,10.0,11346.296869272473,11103.352775385429,160.33527753854287,0.0,11506.632146811016,11.74,0.62,0.0,0.0,5.0,17.4515999853611,29.884959966875613,5.0,
2016,10.0,11202.729458189498,10994.659642386105,149.46596423861047,0.0,11352.195422428109,12.16,0.46,0.0,0.0,5.0,12.204300006851554,18.387580011039972,5.0,
2017,10.0,11027.940947878866,10801.149965031995,130.11499650319948,0.0,11158.055944382066,11.34,0.64,0.0,0.0,5.0,15.689919982105494,27.02099997550249,5.0,
2018,10.0,11357.394985932195,10573.149789726243,107.31497897262435,0.0,11464.70996490482,11.04,0.58,0.0,0.0,5.0,14.57855999469757,23.680380021687597,5.0,
2019,10.0,11196.395342252918,10941.71010290019,144.17101029001898,0.0,11340.566352542937,14.0,0.8,0.0,0.0,5.0,17.57111999904737,28.087759984191507,5.0,
2000,,11186.221018050921,10630.763704286877,113.07637042868774,0.0,11299.297388479608,8.1,0.68,0.0,0.0,5.0,15.862079977523535,24.638139980379492,5.0,0.5
2001,,11289.575964427082,11002.592660484232,150.25926604842317,0.0,11439.835230475504,8.56,0.54,0.0,0.0,5.0,17.735580005683005,28.420239978004247,5.0,0.5
2002,,11334.597494760772,10866.955833345832,136.69558333458318,0.0,11471.293078095356,5.94,0.6,0.0,0.0,5.0,15.408000000752509,26.78354001836851,5.0,0.5
2003,,11522.647759880761,11155.21608903011,165.52160890301093,0.0,11688.169368783772,7.24,0.5,0.0,0.0,5.0,16.32979998830706,27.477819961495697,5.0,0.5
2004,,11039.558825657812,10829.33803013411,132.93380301341094,0.0,11172.492628671223,7.62,0.68,0.0,0.0,5.0,13.99901999393478,26.48386000655591,5.0,0.5
